county,district_id,district_name,district_office_flag,age,year,population,deaths,death_rate
Macon,7,West Central Health District,0,0-9,1999,2079,0,0
Madison,10,Northeast Health District,0,0-9,1999,3654,0,0
Marion,7,West Central Health District,0,0-9,1999,1081,0,0
Meriwether,4,District 4 Health District,0,0-9,1999,3233,0,0
Miller,8-2,Southwest Health District,0,0-9,1999,846,0,0
Mitchell,8-2,Southwest Health District,0,0-9,1999,3456,0,0
Monroe,5-2,North Central Health District,0,0-9,1999,2945,0,0
Montgomery,5-1,South Central Health District,0,0-9,1999,1135,0,0
Morgan,10,Northeast Health District,0,0-9,1999,2266,0,0
Oconee,10,Northeast Health District,0,0-9,1999,4063,0,0
Oglethorpe,10,Northeast Health District,0,0-9,1999,1769,0,0
Peach,5-2,North Central Health District,0,0-9,1999,3256,0,0
Pickens,1-2,North Georgia Health District,0,0-9,1999,2766,0,0
Pierce,9-2,Southeast Health District,0,0-9,1999,2156,0,0
Pike,4,District 4 Health District,0,0-9,1999,1928,0,0
Pulaski,5-1,South Central Health District,0,0-9,1999,1211,0,0
Putnam,5-2,North Central Health District,0,0-9,1999,2321,0,0
Quitman,7,West Central Health District,0,0-9,1999,338,0,0
Rabun,2,North Health District,0,0-9,1999,1680,0,0
Randolph,7,West Central Health District,0,0-9,1999,1156,0,0
Schley,7,West Central Health District,0,0-9,1999,593,0,0
Screven,6,East Central Health District,0,0-9,1999,2246,0,0
Seminole,8-2,Southwest Health District,0,0-9,1999,1331,0,0
Stephens,2,North Health District,0,0-9,1999,3273,0,0
Stewart,7,West Central Health District,0,0-9,1999,728,0,0
Sumter,7,West Central Health District,0,0-9,1999,5222,0,0
Talbot,7,West Central Health District,0,0-9,1999,863,0,0
Taliaferro,6,East Central Health District,0,0-9,1999,241,0,0
Tattnall,9-2,Southeast Health District,0,0-9,1999,2676,0,0
Taylor,7,West Central Health District,0,0-9,1999,1314,0,0
Telfair,5-1,South Central Health District,0,0-9,1999,1424,0,0
Terrell,8-2,Southwest Health District,0,0-9,1999,1726,0,0
Toombs,9-2,Southeast Health District,0,0-9,1999,4003,0,0
Towns,2,North Health District,0,0-9,1999,796,0,0
Treutlen,5-1,South Central Health District,0,0-9,1999,971,0,0
Turner,8-1,South Health District,0,0-9,1999,1499,0,0
Twiggs,5-2,North Central Health District,0,0-9,1999,1537,0,0
Union,2,North Health District,0,0-9,1999,1772,0,0
Upson,4,District 4 Health District,0,0-9,1999,3767,0,0
Warren,6,East Central Health District,0,0-9,1999,910,0,0
Washington,5-2,North Central Health District,0,0-9,1999,2986,0,0
Wayne,9-2,Southeast Health District,0,0-9,1999,3659,0,0
Webster,7,West Central Health District,0,0-9,1999,332,0,0
Wheeler,5-1,South Central Health District,0,0-9,1999,726,0,0
White,2,North Health District,0,0-9,1999,2447,0,0
Wilcox,5-1,South Central Health District,0,0-9,1999,1071,0,0
Wilkes,6,East Central Health District,0,0-9,1999,1347,0,0
Wilkinson,5-2,North Central Health District,0,0-9,1999,1482,0,0
Worth,8-2,Southwest Health District,0,0-9,1999,3280,0,0
Baldwin,5-2,North Central Health District,0,0-9,1999,4971,0,0
Barrow,10,Northeast Health District,0,0-9,1999,7391,0,0
Bartow,1-1,Northwest Georgia Health District,0,0-9,1999,11791,0,0
Bibb,5-2,North Central Health District,1,0-9,1999,23250,0,0
Bulloch,9-2,Southeast Health District,0,0-9,1999,6673,0,0
Camden,9-1,Coastal Health District,0,0-9,1999,7813,0,0
Carroll,4,District 4 Health District,0,0-9,1999,12357,0,0
Catoosa,1-1,Northwest Georgia Health District,0,0-9,1999,7417,0,0
Chatham,9-1,Coastal Health District,0,0-9,1999,32707,0,0
Cherokee,1-2,North Georgia Health District,1,0-9,1999,22561,0,0
Clarke,10,Northeast Health District,1,0-9,1999,10364,0,0
Clayton,3-3,Clayton County Health District,1,0-9,1999,39225,0,0
Cobb,3-1,Cobb/Douglas Health District,1,0-9,1999,85810,0,0
Coffee,9-2,Southeast Health District,0,0-9,1999,5819,0,0
Colquitt,8-2,Southwest Health District,0,0-9,1999,6258,0,0
Columbia,6,East Central Health District,0,0-9,1999,13640,0,0
Coweta,4,District 4 Health District,0,0-9,1999,14377,0,0
DeKalb,3-5,DeKalb Health District,1,0-9,1999,93248,0,0
Dougherty,8-2,Southwest Health District,1,0-9,1999,14939,0,0
Douglas,3-1,Cobb/Douglas Health District,0,0-9,1999,13810,0,0
Effingham,9-1,Coastal Health District,0,0-9,1999,5891,0,0
Fayette,4,District 4 Health District,0,0-9,1999,12471,0,0
Floyd,1-1,Northwest Georgia Health District,1,0-9,1999,12107,0,0
Forsyth,2,North Health District,0,0-9,1999,16154,0,0
Fulton,3-2,Fulton County Board of Health,1,0-9,1999,114262,0,0
Glynn,9-1,Coastal Health District,1,0-9,1999,9127,0,0
Gordon,1-1,Northwest Georgia Health District,0,0-9,1999,6210,1,1.6103059581320451e-4
Gwinnett,3-4,East Metro Health District,1,0-9,1999,90918,0,0
Habersham,2,North Health District,0,0-9,1999,4437,0,0
Hall,2,North Health District,1,0-9,1999,20765,0,0
Henry,4,District 4 Health District,0,0-9,1999,18629,0,0
Houston,5-2,North Central Health District,0,0-9,1999,16613,0,0
Jackson,10,Northeast Health District,0,0-9,1999,6022,0,0
Laurens,5-1,South Central Health District,1,0-9,1999,6520,0,0
Liberty,9-1,Coastal Health District,0,0-9,1999,12336,0,0
Lowndes,8-1,South Health District,1,0-9,1999,13455,0,0
Murray,1-2,North Georgia Health District,0,0-9,1999,5639,0,0
Muscogee,7,West Central Health District,1,0-9,1999,28103,0,0
Newton,3-4,East Metro Health District,0,0-9,1999,9440,0,0
Paulding,1-1,Northwest Georgia Health District,0,0-9,1999,14366,0,0
Polk,1-1,Northwest Georgia Health District,0,0-9,1999,5315,0,0
Richmond,6,East Central Health District,1,0-9,1999,29686,0,0
Rockdale,3-4,East Metro Health District,0,0-9,1999,9756,0,0
Spalding,4,District 4 Health District,0,0-9,1999,8937,0,0
Thomas,8-2,Southwest Health District,0,0-9,1999,6086,0,0
Tift,8-1,South Health District,0,0-9,1999,5863,0,0
Troup,4,District 4 Health District,1,0-9,1999,8964,0,0
Walker,1-1,Northwest Georgia Health District,0,0-9,1999,8171,0,0
Walton,10,Northeast Health District,0,0-9,1999,9322,0,0
Ware,9-2,Southeast Health District,1,0-9,1999,4743,0,0
Whitfield,1-2,North Georgia Health District,0,0-9,1999,12736,0,0
Appling,9-2,Southeast Health District,0,0-9,2000,2511,0,0
Atkinson,9-2,Southeast Health District,0,0-9,2000,1337,0,0
Bacon,9-2,Southeast Health District,0,0-9,2000,1456,0,0
Baker,8-2,Southwest Health District,0,0-9,2000,594,0,0
Banks,2,North Health District,0,0-9,2000,2143,0,0
Ben Hill,8-1,South Health District,0,0-9,2000,2542,0,0
Berrien,8-1,South Health District,0,0-9,2000,2378,0,0
Bleckley,5-1,South Central Health District,0,0-9,2000,1604,0,0
Brantley,9-2,Southeast Health District,0,0-9,2000,2201,0,0
Brooks,8-1,South Health District,0,0-9,2000,2318,0,0
Bryan,9-1,Coastal Health District,0,0-9,2000,3745,0,0
Burke,6,East Central Health District,0,0-9,2000,3741,0,0
Butts,4,District 4 Health District,0,0-9,2000,2524,0,0
Calhoun,8-2,Southwest Health District,0,0-9,2000,752,0,0
Candler,9-2,Southeast Health District,0,0-9,2000,1363,0,0
Charlton,9-2,Southeast Health District,0,0-9,2000,1426,0,0
Chattahoochee,7,West Central Health District,0,0-9,2000,2641,0,0
Chattooga,1-1,Northwest Georgia Health District,0,0-9,2000,3212,0,0
Clay,7,West Central Health District,0,0-9,2000,461,0,0
Clinch,9-2,Southeast Health District,0,0-9,2000,1008,0,0
Cook,8-1,South Health District,0,0-9,2000,2438,0,0
Crawford,5-2,North Central Health District,0,0-9,2000,1801,0,0
Crisp,7,West Central Health District,0,0-9,2000,3528,0,0
Dade,1-1,Northwest Georgia Health District,0,0-9,2000,1924,0,0
Dawson,2,North Health District,0,0-9,2000,2336,0,0
Decatur,8-2,Southwest Health District,0,0-9,2000,4364,0,0
Dodge,5-1,South Central Health District,0,0-9,2000,2521,0,0
Dooly,7,West Central Health District,0,0-9,2000,1551,0,0
Early,8-2,Southwest Health District,0,0-9,2000,1826,0,0
Echols,8-1,South Health District,0,0-9,2000,586,0,0
Elbert,10,Northeast Health District,0,0-9,2000,2720,0,0
Emanuel,6,East Central Health District,0,0-9,2000,2998,0,0
Evans,9-2,Southeast Health District,0,0-9,2000,1503,0,0
Fannin,1-2,North Georgia Health District,0,0-9,2000,2156,0,0
Franklin,2,North Health District,0,0-9,2000,2683,0,0
Gilmer,1-2,North Georgia Health District,0,0-9,2000,3280,0,0
Glascock,6,East Central Health District,0,0-9,2000,338,0,0
Grady,8-2,Southwest Health District,0,0-9,2000,3371,0,0
Greene,10,Northeast Health District,0,0-9,2000,1900,0,0
Hancock,5-2,North Central Health District,0,0-9,2000,1238,0,0
Haralson,1-1,Northwest Georgia Health District,0,0-9,2000,3640,0,0
Harris,7,West Central Health District,0,0-9,2000,3204,0,0
Hart,2,North Health District,0,0-9,2000,2938,0,0
Heard,4,District 4 Health District,0,0-9,2000,1818,0,0
Irwin,8-1,South Health District,0,0-9,2000,1371,0,0
Jasper,5-2,North Central Health District,0,0-9,2000,1673,0,0
Jeff Davis,9-2,Southeast Health District,0,0-9,2000,1872,0,0
Jefferson,6,East Central Health District,0,0-9,2000,2567,0,0
Jenkins,6,East Central Health District,0,0-9,2000,1306,0,0
Johnson,5-1,South Central Health District,0,0-9,2000,1162,0,0
Jones,5-2,North Central Health District,0,0-9,2000,3359,0,0
Lamar,4,District 4 Health District,0,0-9,2000,2133,0,0
Lanier,8-1,South Health District,0,0-9,2000,1103,0,0
Lee,8-2,Southwest Health District,0,0-9,2000,3863,0,0
Lincoln,6,East Central Health District,0,0-9,2000,1023,0,0
Long,9-1,Coastal Health District,0,0-9,2000,2100,0,0
Lumpkin,2,North Health District,0,0-9,2000,2768,0,0
McDuffie,6,East Central Health District,0,0-9,2000,3105,0,0
McIntosh,9-1,Coastal Health District,0,0-9,2000,1624,0,0
Macon,7,West Central Health District,0,0-9,2000,2050,0,0
Madison,10,Northeast Health District,0,0-9,2000,3688,0,0
Marion,7,West Central Health District,0,0-9,2000,1088,0,0
Meriwether,4,District 4 Health District,0,0-9,2000,3173,0,0
Miller,8-2,Southwest Health District,0,0-9,2000,842,0,0
Mitchell,8-2,Southwest Health District,0,0-9,2000,3430,0,0
Monroe,5-2,North Central Health District,0,0-9,2000,2976,0,0
Montgomery,5-1,South Central Health District,0,0-9,2000,1132,0,0
Morgan,10,Northeast Health District,0,0-9,2000,2276,0,0
Oconee,10,Northeast Health District,0,0-9,2000,4020,0,0
Oglethorpe,10,Northeast Health District,0,0-9,2000,1808,0,0
Peach,5-2,North Central Health District,0,0-9,2000,3288,0,0
Pickens,1-2,North Georgia Health District,0,0-9,2000,2998,0,0
Pierce,9-2,Southeast Health District,0,0-9,2000,2188,0,0
Pike,4,District 4 Health District,0,0-9,2000,1969,0,0
Pulaski,5-1,South Central Health District,0,0-9,2000,1231,0,0
Putnam,5-2,North Central Health District,0,0-9,2000,2291,0,0
Quitman,7,West Central Health District,0,0-9,2000,337,0,0
Rabun,2,North Health District,0,0-9,2000,1743,0,0
Randolph,7,West Central Health District,0,0-9,2000,1124,0,0
Schley,7,West Central Health District,0,0-9,2000,613,0,0
Screven,6,East Central Health District,0,0-9,2000,2229,0,0
Seminole,8-2,Southwest Health District,0,0-9,2000,1340,0,0
Stephens,2,North Health District,0,0-9,2000,3277,0,0
Stewart,7,West Central Health District,0,0-9,2000,721,0,0
Sumter,7,West Central Health District,0,0-9,2000,5210,0,0
Talbot,7,West Central Health District,0,0-9,2000,854,0,0
Taliaferro,6,East Central Health District,0,0-9,2000,238,0,0
Tattnall,9-2,Southeast Health District,0,0-9,2000,2683,0,0
Taylor,7,West Central Health District,0,0-9,2000,1306,0,0
Telfair,5-1,South Central Health District,0,0-9,2000,1409,0,0
Terrell,8-2,Southwest Health District,0,0-9,2000,1706,0,0
Toombs,9-2,Southeast Health District,0,0-9,2000,4005,0,0
Towns,2,North Health District,0,0-9,2000,815,0,0
Treutlen,5-1,South Central Health District,0,0-9,2000,978,0,0
Turner,8-1,South Health District,0,0-9,2000,1491,0,0
Twiggs,5-2,North Central Health District,0,0-9,2000,1510,0,0
Union,2,North Health District,0,0-9,2000,1811,0,0
Upson,4,District 4 Health District,0,0-9,2000,3788,0,0
Warren,6,East Central Health District,0,0-9,2000,879,0,0
Washington,5-2,North Central Health District,0,0-9,2000,2945,0,0
Wayne,9-2,Southeast Health District,0,0-9,2000,3647,0,0
Webster,7,West Central Health District,0,0-9,2000,337,0,0
Wheeler,5-1,South Central Health District,0,0-9,2000,724,0,0
White,2,North Health District,0,0-9,2000,2584,0,0
Wilcox,5-1,South Central Health District,0,0-9,2000,1072,0,0
Wilkes,6,East Central Health District,0,0-9,2000,1323,0,0
Wilkinson,5-2,North Central Health District,0,0-9,2000,1442,0,0
Worth,8-2,Southwest Health District,0,0-9,2000,3212,0,0
Baldwin,5-2,North Central Health District,0,0-9,2000,4923,0,0
Barrow,10,Northeast Health District,0,0-9,2000,7684,0,0
Bartow,1-1,Northwest Georgia Health District,0,0-9,2000,12174,0,0
Bibb,5-2,North Central Health District,1,0-9,2000,22944,0,0
Bulloch,9-2,Southeast Health District,0,0-9,2000,6637,0,0
Camden,9-1,Coastal Health District,0,0-9,2000,7748,0,0
Carroll,4,District 4 Health District,0,0-9,2000,12674,0,0
Catoosa,1-1,Northwest Georgia Health District,0,0-9,2000,7654,0,0
Chatham,9-1,Coastal Health District,0,0-9,2000,32231,0,0
Cherokee,1-2,North Georgia Health District,1,0-9,2000,23479,0,0
Clarke,10,Northeast Health District,1,0-9,2000,10497,0,0
Clayton,3-3,Clayton County Health District,1,0-9,2000,40535,0,0
Cobb,3-1,Cobb/Douglas Health District,1,0-9,2000,88879,0,0
Coffee,9-2,Southeast Health District,0,0-9,2000,5911,0,0
Colquitt,8-2,Southwest Health District,0,0-9,2000,6278,0,0
Columbia,6,East Central Health District,0,0-9,2000,13743,0,0
Coweta,4,District 4 Health District,0,0-9,2000,14852,0,0
DeKalb,3-5,DeKalb Health District,1,0-9,2000,94068,0,0
Dougherty,8-2,Southwest Health District,1,0-9,2000,14568,0,0
Douglas,3-1,Cobb/Douglas Health District,0,0-9,2000,13945,0,0
Effingham,9-1,Coastal Health District,0,0-9,2000,5970,0,0
Fayette,4,District 4 Health District,0,0-9,2000,12667,0,0
Floyd,1-1,Northwest Georgia Health District,1,0-9,2000,12229,0,0
Forsyth,2,North Health District,0,0-9,2000,17679,0,0
Fulton,3-2,Fulton County Board of Health,1,0-9,2000,114156,0,0
Glynn,9-1,Coastal Health District,1,0-9,2000,9041,0,0
Gordon,1-1,Northwest Georgia Health District,0,0-9,2000,6405,0,0
Gwinnett,3-4,East Metro Health District,1,0-9,2000,94797,0,0
Habersham,2,North Health District,0,0-9,2000,4582,0,0
Hall,2,North Health District,1,0-9,2000,21984,0,0
Henry,4,District 4 Health District,0,0-9,2000,20090,0,0
Houston,5-2,North Central Health District,0,0-9,2000,16704,0,0
Jackson,10,Northeast Health District,0,0-9,2000,6263,0,0
Laurens,5-1,South Central Health District,1,0-9,2000,6472,0,0
Liberty,9-1,Coastal Health District,0,0-9,2000,12102,0,0
Lowndes,8-1,South Health District,1,0-9,2000,13315,0,0
Murray,1-2,North Georgia Health District,0,0-9,2000,5854,0,0
Muscogee,7,West Central Health District,1,0-9,2000,27820,0,0
Newton,3-4,East Metro Health District,0,0-9,2000,9910,0,0
Paulding,1-1,Northwest Georgia Health District,0,0-9,2000,15383,0,0
Polk,1-1,Northwest Georgia Health District,0,0-9,2000,5354,0,0
Richmond,6,East Central Health District,1,0-9,2000,29231,0,0
Rockdale,3-4,East Metro Health District,0,0-9,2000,9815,0,0
Spalding,4,District 4 Health District,0,0-9,2000,8907,0,0
Thomas,8-2,Southwest Health District,0,0-9,2000,6054,0,0
Tift,8-1,South Health District,0,0-9,2000,5806,0,0
Troup,4,District 4 Health District,1,0-9,2000,8955,0,0
Walker,1-1,Northwest Georgia Health District,0,0-9,2000,8183,0,0
Walton,10,Northeast Health District,0,0-9,2000,9835,0,0
Ware,9-2,Southeast Health District,1,0-9,2000,4664,0,0
Whitfield,1-2,North Georgia Health District,0,0-9,2000,13178,0,0
Appling,9-2,Southeast Health District,0,0-9,2001,2521,0,0
Atkinson,9-2,Southeast Health District,0,0-9,2001,1334,0,0
Bacon,9-2,Southeast Health District,0,0-9,2001,1468,0,0
Baker,8-2,Southwest Health District,0,0-9,2001,558,0,0
Banks,2,North Health District,0,0-9,2001,2270,0,0
Ben Hill,8-1,South Health District,0,0-9,2001,2554,0,0
Berrien,8-1,South Health District,0,0-9,2001,2317,0,0
Bleckley,5-1,South Central Health District,0,0-9,2001,1592,0,0
Brantley,9-2,Southeast Health District,0,0-9,2001,2263,0,0
Brooks,8-1,South Health District,0,0-9,2001,2296,0,0
Bryan,9-1,Coastal Health District,0,0-9,2001,3796,0,0
Burke,6,East Central Health District,0,0-9,2001,3860,0,0
Butts,4,District 4 Health District,0,0-9,2001,2556,0,0
Calhoun,8-2,Southwest Health District,0,0-9,2001,749,0,0
Candler,9-2,Southeast Health District,0,0-9,2001,1316,0,0
Charlton,9-2,Southeast Health District,0,0-9,2001,1412,0,0
Chattahoochee,7,West Central Health District,0,0-9,2001,2474,0,0
Chattooga,1-1,Northwest Georgia Health District,0,0-9,2001,3343,0,0
Clay,7,West Central Health District,0,0-9,2001,440,0,0
Clinch,9-2,Southeast Health District,0,0-9,2001,1067,0,0
Cook,8-1,South Health District,0,0-9,2001,2397,0,0
Crawford,5-2,North Central Health District,0,0-9,2001,1773,0,0
Crisp,7,West Central Health District,0,0-9,2001,3488,0,0
Dade,1-1,Northwest Georgia Health District,0,0-9,2001,1940,0,0
Dawson,2,North Health District,0,0-9,2001,2358,0,0
Decatur,8-2,Southwest Health District,0,0-9,2001,4233,0,0
Dodge,5-1,South Central Health District,0,0-9,2001,2459,0,0
Dooly,7,West Central Health District,0,0-9,2001,1609,0,0
Early,8-2,Southwest Health District,0,0-9,2001,1803,0,0
Echols,8-1,South Health District,0,0-9,2001,546,0,0
Elbert,10,Northeast Health District,0,0-9,2001,2700,0,0
Emanuel,6,East Central Health District,0,0-9,2001,2926,0,0
Evans,9-2,Southeast Health District,0,0-9,2001,1526,0,0
Fannin,1-2,North Georgia Health District,0,0-9,2001,2195,0,0
Franklin,2,North Health District,0,0-9,2001,2675,0,0
Gilmer,1-2,North Georgia Health District,0,0-9,2001,3346,0,0
Glascock,6,East Central Health District,0,0-9,2001,339,0,0
Grady,8-2,Southwest Health District,0,0-9,2001,3375,0,0
Greene,10,Northeast Health District,0,0-9,2001,1957,0,0
Hancock,5-2,North Central Health District,0,0-9,2001,1201,0,0
Haralson,1-1,Northwest Georgia Health District,0,0-9,2001,3716,0,0
Harris,7,West Central Health District,0,0-9,2001,3150,0,0
Hart,2,North Health District,0,0-9,2001,2855,0,0
Heard,4,District 4 Health District,0,0-9,2001,1805,0,0
Irwin,8-1,South Health District,0,0-9,2001,1354,0,0
Jasper,5-2,North Central Health District,0,0-9,2001,1676,0,0
Jeff Davis,9-2,Southeast Health District,0,0-9,2001,1934,0,0
Jefferson,6,East Central Health District,0,0-9,2001,2495,0,0
Jenkins,6,East Central Health District,0,0-9,2001,1304,0,0
Johnson,5-1,South Central Health District,0,0-9,2001,1160,0,0
Jones,5-2,North Central Health District,0,0-9,2001,3309,0,0
Lamar,4,District 4 Health District,0,0-9,2001,2164,0,0
Lanier,8-1,South Health District,0,0-9,2001,1037,0,0
Lee,8-2,Southwest Health District,0,0-9,2001,3779,0,0
Lincoln,6,East Central Health District,0,0-9,2001,999,0,0
Long,9-1,Coastal Health District,0,0-9,2001,2029,0,0
Lumpkin,2,North Health District,0,0-9,2001,2860,0,0
McDuffie,6,East Central Health District,0,0-9,2001,3149,0,0
McIntosh,9-1,Coastal Health District,0,0-9,2001,1649,0,0
Macon,7,West Central Health District,0,0-9,2001,2031,0,0
Madison,10,Northeast Health District,0,0-9,2001,3635,0,0
Marion,7,West Central Health District,0,0-9,2001,1090,0,0
Meriwether,4,District 4 Health District,0,0-9,2001,3135,0,0
Miller,8-2,Southwest Health District,0,0-9,2001,837,0,0
Mitchell,8-2,Southwest Health District,0,0-9,2001,3400,0,0
Monroe,5-2,North Central Health District,0,0-9,2001,2914,0,0
Montgomery,5-1,South Central Health District,0,0-9,2001,1162,0,0
Morgan,10,Northeast Health District,0,0-9,2001,2298,0,0
Oconee,10,Northeast Health District,0,0-9,2001,3915,0,0
Oglethorpe,10,Northeast Health District,0,0-9,2001,1839,0,0
Peach,5-2,North Central Health District,0,0-9,2001,3257,0,0
Pickens,1-2,North Georgia Health District,0,0-9,2001,3165,0,0
Pierce,9-2,Southeast Health District,0,0-9,2001,2179,0,0
Pike,4,District 4 Health District,0,0-9,2001,1982,0,0
Pulaski,5-1,South Central Health District,0,0-9,2001,1256,0,0
Putnam,5-2,North Central Health District,0,0-9,2001,2361,0,0
Quitman,7,West Central Health District,0,0-9,2001,328,0,0
Rabun,2,North Health District,0,0-9,2001,1782,0,0
Randolph,7,West Central Health District,0,0-9,2001,1065,0,0
Schley,7,West Central Health District,0,0-9,2001,621,0,0
Screven,6,East Central Health District,0,0-9,2001,2066,0,0
Seminole,8-2,Southwest Health District,0,0-9,2001,1322,0,0
Stephens,2,North Health District,0,0-9,2001,3240,0,0
Stewart,7,West Central Health District,0,0-9,2001,690,0,0
Sumter,7,West Central Health District,0,0-9,2001,5049,0,0
Talbot,7,West Central Health District,0,0-9,2001,870,0,0
Taliaferro,6,East Central Health District,0,0-9,2001,220,0,0
Tattnall,9-2,Southeast Health District,0,0-9,2001,2649,0,0
Taylor,7,West Central Health District,0,0-9,2001,1243,0,0
Telfair,5-1,South Central Health District,0,0-9,2001,1470,0,0
Terrell,8-2,Southwest Health District,0,0-9,2001,1685,0,0
Toombs,9-2,Southeast Health District,0,0-9,2001,3953,0,0
Towns,2,North Health District,0,0-9,2001,853,0,0
Treutlen,5-1,South Central Health District,0,0-9,2001,923,0,0
Turner,8-1,South Health District,0,0-9,2001,1515,0,0
Twiggs,5-2,North Central Health District,0,0-9,2001,1359,0,0
Union,2,North Health District,0,0-9,2001,1811,0,0
Upson,4,District 4 Health District,0,0-9,2001,3844,0,0
Warren,6,East Central Health District,0,0-9,2001,901,0,0
Washington,5-2,North Central Health District,0,0-9,2001,2843,0,0
Wayne,9-2,Southeast Health District,0,0-9,2001,3613,0,0
Webster,7,West Central Health District,0,0-9,2001,325,0,0
Wheeler,5-1,South Central Health District,0,0-9,2001,744,0,0
White,2,North Health District,0,0-9,2001,2710,0,0
Wilcox,5-1,South Central Health District,0,0-9,2001,1107,0,0
Wilkes,6,East Central Health District,0,0-9,2001,1287,0,0
Wilkinson,5-2,North Central Health District,0,0-9,2001,1451,0,0
Worth,8-2,Southwest Health District,0,0-9,2001,3224,0,0
Baldwin,5-2,North Central Health District,0,0-9,2001,4879,0,0
Barrow,10,Northeast Health District,0,0-9,2001,7885,0,0
Bartow,1-1,Northwest Georgia Health District,0,0-9,2001,12666,0,0
Bibb,5-2,North Central Health District,1,0-9,2001,22831,0,0
Bulloch,9-2,Southeast Health District,0,0-9,2001,6467,0,0
Camden,9-1,Coastal Health District,0,0-9,2001,7712,0,0
Carroll,4,District 4 Health District,0,0-9,2001,13161,0,0
Catoosa,1-1,Northwest Georgia Health District,0,0-9,2001,7719,0,0
Chatham,9-1,Coastal Health District,0,0-9,2001,31889,0,0
Cherokee,1-2,North Georgia Health District,1,0-9,2001,24434,0,0
Clarke,10,Northeast Health District,1,0-9,2001,10584,0,0
Clayton,3-3,Clayton County Health District,1,0-9,2001,41587,0,0
Cobb,3-1,Cobb/Douglas Health District,1,0-9,2001,90470,0,0
Coffee,9-2,Southeast Health District,0,0-9,2001,5857,0,0
