county,opioid_prescp_per_1000_pop,avg_days_per_opioid_prescp,pct_patient_days_with_overlapping_opioid_prescp,pct_patient_days_with_overlapping_opioid_and_benzo_prescp
Murray,1108.9,19.4,14.5,17.8
Muscogee,737.4,18.4,17.1,14.5
Newton,867.9,17.8,18.4,12.2
Oconee,733.6,17.3,16.7,11
Oglethorpe,989,19.9,16.6,10.8
Paulding,749.9,18.2,21,14.9
Peach,1231.2,19.9,14.7,14.5
Pickens,1240.8,19.3,22.4,16
Pierce,1551.8,21.7,16.9,21.3
Pike,1000.6,18.6,16.7,15.9
Polk,1612.6,21.8,16.2,20.5
Pulaski,985.4,20.5,15.1,15
Putnam,1008.8,18.1,17.2,12.6
Quitman,205.3,20.9,14.7,9.8
Rabun,1236.9,21.4,17,16.6
Randolph,844.4,16.4,11.9,10.4
Richmond,914.2,17.6,15.4,13.3
Rockdale,722.2,17.1,18.1,12.3
Schley,822.9,19.2,9.9,16.8
Screven,970.6,18.3,15.6,12
Seminole,1536.5,16.2,12.6,16.3
Spalding,1174.2,18.9,16.2,15.1
Stephens,1419.9,21.5,17,13.3
Stewart,639.9,20.9,14.3,11.6
Sumter,959.6,18.3,13.2,13.4
Talbot,1152.3,20,17.5,16.7
Taliaferro,1205.2,19.6,15.5,14.5
Tattnall,1153.7,20.8,18.1,18.3
Taylor,1214.3,19.7,15.7,16.2
Telfair,968.8,20.8,19.2,22.9
Terrell,525.7,17.3,14.5,7.6
Thomas,1056.8,17.6,17.3,11.8
Tift,1096.6,19.8,20.4,13.4
Toombs,1145.4,20.1,17,16.9
Towns,1097.3,21.6,16,15.4
Treutlen,1261.9,18.7,18,14.9
Troup,894,18.6,15.9,15.4
Turner,1509.6,19.5,18.7,11.8
Twiggs,1262.8,21.2,13.9,16.2
Union,1016.8,20.3,17.6,13.9
Upson,1387.4,18,16.4,18.6
Walker,880.1,20.4,14.4,15.9
Walton,882.7,18.5,21.2,13.7
Ware,1542.9,21.9,17.5,21.8
Warren,1054.3,18.6,14.4,9.7
Washington,864.9,19.6,16,10.9
Wayne,1267.8,20.1,21.6,15.3
Webster,611.5,19.5,11.7,10.7
Wheeler,889.7,20.6,19.4,20.1
White,1114.2,20,20.3,11.8
Whitfield,823,17.8,13.5,14.4
Wilcox,1271,21.7,16,19.8
Wilkes,1134,20.4,15.6,14.8
Wilkinson,1441.5,20.4,15.4,13.9
Worth,1126.8,19,18.3,14
